GeneID	Sample2
1007_s_at	11.19
1053_at	8.06
117_at	3.13
121_at	4.46
1255_g_at	1.75
1294_at	2.37
1316_at	3.12
1320_at	4.7
1405_i_at	5.05
1431_at	2.12
1438_at	4.42
1487_at	8.24
1494_f_at	2.53
1552256_a_at	9.47
1552257_a_at	7.03
1552258_at	2.08
1552261_at	2.64
1552263_at	3.22
1552264_a_at	6.93
1552266_at	4.06
1552269_at	3.34
1552271_at	2.44
1552272_a_at	2.34
1552274_at	3.26
1552275_s_at	2.58
1552276_a_at	2.44
1552277_a_at	8.77
1552278_a_at	4.01
1552279_a_at	4.51
1552280_at	2.42
1552281_at	3.38
1552283_s_at	3.37
1552286_at	5.13
1552287_s_at	8.32
1552288_at	3.99
1552289_a_at	2.12
1552291_at	8.86
1552293_at	2.45
1552295_a_at	4.85
1552296_at	3.51
1552299_at	4.11
1552301_a_at	2.62
1552302_at	3.01
1552303_a_at	2.53
1552304_at	3.55
1552306_at	6.22
1552307_a_at	4.91
1552309_a_at	1.55
1552310_at	8.31
1552311_a_at	3.52
1552312_a_at	6.83
1552314_a_at	4.07
1552315_at	2.4
1552316_a_at	1.75
1552318_at	2.08
1552319_a_at	2.53
1552320_a_at	2.11
1552321_a_at	2.06
1552322_at	1.57
1552323_s_at	2.11
1552325_at	3.07
1552326_a_at	1.76
1552327_at	2.3
1552329_at	8.1
1552330_at	8.76
1552332_at	3.91
1552334_at	2.33
1552335_at	3.16
1552337_s_at	2.28
1552338_at	3.12
1552340_at	2.29
1552343_s_at	3.52
1552344_s_at	5.96
1552347_at	3.82
1552348_at	2.13
1552349_a_at	2.13
1552354_at	2.89
1552355_s_at	1.85
1552359_at	2.07
1552360_a_at	4.13
1552362_a_at	3.85
1552364_s_at	7.94
1552365_at	5.66
1552367_a_at	4.37
1552368_at	2.06
1552370_at	4.93
1552372_at	2.13
1552373_s_at	2.68
1552375_at	2.22
1552377_s_at	2.62
1552378_s_at	4.29
1552379_at	1.91
1552381_at	1.9
1552383_at	3.33
1552384_a_at	1.95
1552386_at	2.06
1552388_at	2.29
1552389_at	3.15
1552390_a_at	2.67
